Symbol,Date,TriggerPrice,IsActive,Scan Date,Type,WeekBaseCount,MissedLive,Rank,Company,Sector,Industry,Country,ThematicScore,ADRP,ROC20_Rank,ROC20_Value,ROC65_Rank,ROC65_Value,ROC130_Rank,ROC130_Value
AAOI,11/20/2024,29.38,1,20241115,HTF,1,,40,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,1,8.8,40,44.32,9,214.19,,
WWW,11/21/2024,22.86,1,20241115,HTF,2,,91,Wolverine World Wide Inc.,Consumer Cyclical,Footwear & Accessories,USA,1,4.49,,,61,69.18,,
XMTR,11/21/2024,30.4,1,20241115,HTF,2,,45,Xometry Inc,Industrials,Specialty Industrial Machinery,USA,5,6.94,45,39.19,70,64.63,,
PLTR,11/22/2024,63.4,1,20241115,HTF,2,,34,Palantir Technologies Inc,Technology,Software - Infrastructure,USA,4,4.23,34,53.06,28,110.67,,
TSL,11/22/2024,15.2,1,20241115,Surf,2,,29,GraniteShares 1.25x Long Tesla Daily ETF,Financial,Exchange Traded Fund,USA,2,5.77,29,57.39,74,61.46,,
DAVE,11/22/2024,85.41,1,20241115,Flag,1,,13,Dave Inc,Technology,Software - Application,USA,9,7.74,13,87.8,23,122.08,,
CXW,11/22/2024,22.53,1,20241115,Flag,2,,32,CoreCivic Inc,Industrials,Security & Protection Services,USA,2,5.66,32,54,63,67.14,,
BTDR,11/29/2024,13,1,20241122,CB,45,,62,Bitdeer Technologies Holding Co,Technology,Software - Application,Singapore,14,12.48,62,53.25,99,65.09,,
ALGS,11/25/2024,20.59,1,20241122,CH,10,,18,Aligos Therapeutics Inc,Healthcare,Biotechnology,USA,22,16.71,18,138.57,,,,
SOUN,11/29/2024,8.37,1,20241122,Flag,1,,54,SoundHound AI Inc,Technology,Software - Application,USA,14,9.81,54,59.27,96,67.34,,
ML,11/29/2024,90,1,20241122,CH,17,,29,MoneyLion Inc,Technology,Software - Application,USA,14,7.89,29,91.86,50,111.04,,
MARA,11/29/2024,27.91,1,20241122,CB,37,1,63,MARA Holdings Inc.,Financial,Capital Markets,USA,4,10.16,63,52.58,,,,
CXW,11/29/2024,22.53,1,20241122,Surf,3,,53,CoreCivic Inc,Industrials,Security & Protection Services,USA,2,6.19,53,60.77,104,63.64,,
NPWR,11/26/2024,13.53,1,20241122,HTF,2,,89,NET Power Inc,Industrials,Specialty Industrial Machinery,USA,6,8.19,89,39.98,,,,
HUT,11/27/2024,26.42,1,20241122,HTF,2,,44,Hut 8 Corp,Financial,Capital Markets,USA,4,10.71,44,73.96,37,126.38,,
MDXG,11/27/2024,9.45,1,20241122,HTF,2,,56,Mimedx Group Inc,Healthcare,Biotechnology,USA,22,5.34,56,57.26,,,,